icd_class,icd_class_short,icd3,age_band,sex,deaths,age_band_label,age_band_order
XI,Пищеварение,K52,40_44,жен,1,40-44,9
XI,Пищеварение,K52,50_54,муж,1,50-54,11
XI,Пищеварение,K52,55_59,жен,2,55-59,12
XI,Пищеварение,K52,55_59,муж,1,55-59,12
XI,Пищеварение,K52,60_64,жен,3,60-64,13
XI,Пищеварение,K52,60_64,муж,1,60-64,13
XI,Пищеварение,K52,65_69,жен,2,65-69,14
XI,Пищеварение,K52,65_69,муж,5,65-69,14
XI,Пищеварение,K52,70_74,жен,2,70-74,15
XI,Пищеварение,K52,70_74,муж,4,70-74,15
XI,Пищеварение,K52,75_79,жен,2,75-79,16
XI,Пищеварение,K52,80_plus,жен,9,80+,17
XI,Пищеварение,K52,80_plus,муж,4,80+,17
XI,Пищеварение,K55,30_34,муж,1,30-34,7
XI,Пищеварение,K55,35_39,жен,2,35-39,8
XI,Пищеварение,K55,35_39,муж,2,35-39,8
XI,Пищеварение,K55,40_44,жен,2,40-44,9
XI,Пищеварение,K55,40_44,муж,6,40-44,9
XI,Пищеварение,K55,45_49,жен,3,45-49,10
XI,Пищеварение,K55,45_49,муж,3,45-49,10
XI,Пищеварение,K55,50_54,жен,8,50-54,11
XI,Пищеварение,K55,50_54,муж,14,50-54,11
XI,Пищеварение,K55,55_59,жен,12,55-59,12
XI,Пищеварение,K55,55_59,муж,26,55-59,12
XI,Пищеварение,K55,60_64,жен,29,60-64,13
XI,Пищеварение,K55,60_64,муж,50,60-64,13
XI,Пищеварение,K55,65_69,жен,51,65-69,14
XI,Пищеварение,K55,65_69,муж,58,65-69,14
XI,Пищеварение,K55,70_74,жен,93,70-74,15
XI,Пищеварение,K55,70_74,муж,49,70-74,15
XI,Пищеварение,K55,75_79,жен,78,75-79,16
XI,Пищеварение,K55,75_79,муж,41,75-79,16
XI,Пищеварение,K55,80_plus,жен,319,80+,17
XI,Пищеварение,K55,80_plus,муж,69,80+,17
XI,Пищеварение,K56,15_19,жен,1,15-19,4
XI,Пищеварение,K56,1_4,муж,1,1-4,1
XI,Пищеварение,K56,25_29,муж,1,25-29,6
XI,Пищеварение,K56,35_39,жен,1,35-39,8
XI,Пищеварение,K56,35_39,муж,1,35-39,8
XI,Пищеварение,K56,40_44,жен,3,40-44,9
XI,Пищеварение,K56,40_44,муж,4,40-44,9
XI,Пищеварение,K56,45_49,жен,3,45-49,10
XI,Пищеварение,K56,45_49,муж,6,45-49,10
XI,Пищеварение,K56,50_54,жен,3,50-54,11
XI,Пищеварение,K56,50_54,муж,4,50-54,11
XI,Пищеварение,K56,55_59,жен,3,55-59,12
XI,Пищеварение,K56,55_59,муж,3,55-59,12
XI,Пищеварение,K56,60_64,жен,10,60-64,13
XI,Пищеварение,K56,60_64,муж,10,60-64,13
XI,Пищеварение,K56,65_69,жен,8,65-69,14
XI,Пищеварение,K56,65_69,муж,8,65-69,14
XI,Пищеварение,K56,70_74,жен,22,70-74,15
XI,Пищеварение,K56,70_74,муж,15,70-74,15
XI,Пищеварение,K56,75_79,жен,11,75-79,16
XI,Пищеварение,K56,75_79,муж,10,75-79,16
XI,Пищеварение,K56,80_plus,жен,27,80+,17
XI,Пищеварение,K56,80_plus,муж,13,80+,17
XI,Пищеварение,K57,40_44,жен,3,40-44,9
XI,Пищеварение,K57,50_54,жен,1,50-54,11
XI,Пищеварение,K57,50_54,муж,1,50-54,11
XI,Пищеварение,K57,55_59,жен,3,55-59,12
XI,Пищеварение,K57,55_59,муж,2,55-59,12
XI,Пищеварение,K57,60_64,жен,4,60-64,13
XI,Пищеварение,K57,60_64,муж,2,60-64,13
XI,Пищеварение,K57,65_69,жен,9,65-69,14
XI,Пищеварение,K57,65_69,муж,3,65-69,14
XI,Пищеварение,K57,70_74,жен,5,70-74,15
XI,Пищеварение,K57,70_74,муж,2,70-74,15
XI,Пищеварение,K57,75_79,жен,12,75-79,16
XI,Пищеварение,K57,75_79,муж,3,75-79,16
XI,Пищеварение,K57,80_plus,жен,26,80+,17
XI,Пищеварение,K57,80_plus,муж,2,80+,17
XI,Пищеварение,K59,70_74,муж,1,70-74,15
XI,Пищеварение,K60,80_plus,жен,1,80+,17
XI,Пищеварение,K61,35_39,жен,1,35-39,8
XI,Пищеварение,K61,40_44,муж,1,40-44,9
XI,Пищеварение,K61,50_54,жен,1,50-54,11
XI,Пищеварение,K61,50_54,муж,1,50-54,11
XI,Пищеварение,K61,55_59,муж,3,55-59,12
XI,Пищеварение,K61,60_64,муж,2,60-64,13
XI,Пищеварение,K61,65_69,жен,2,65-69,14
XI,Пищеварение,K61,65_69,муж,2,65-69,14
XI,Пищеварение,K61,70_74,муж,4,70-74,15
XI,Пищеварение,K61,75_79,жен,1,75-79,16
XI,Пищеварение,K61,80_plus,жен,2,80+,17
XI,Пищеварение,K61,80_plus,муж,2,80+,17
XI,Пищеварение,K62,70_74,жен,1,70-74,15
XI,Пищеварение,K63,40_44,жен,1,40-44,9
XI,Пищеварение,K63,40_44,муж,1,40-44,9
XI,Пищеварение,K63,45_49,жен,2,45-49,10
XI,Пищеварение,K63,45_49,муж,3,45-49,10
XI,Пищеварение,K63,50_54,жен,1,50-54,11
XI,Пищеварение,K63,50_54,муж,1,50-54,11
XI,Пищеварение,K63,55_59,жен,2,55-59,12
XI,Пищеварение,K63,60_64,жен,3,60-64,13
XI,Пищеварение,K63,60_64,муж,3,60-64,13
XI,Пищеварение,K63,65_69,жен,1,65-69,14
XI,Пищеварение,K63,65_69,муж,5,65-69,14
XI,Пищеварение,K63,70_74,жен,6,70-74,15
XI,Пищеварение,K63,70_74,муж,3,70-74,15
XI,Пищеварение,K63,75_79,жен,1,75-79,16
XI,Пищеварение,K63,75_79,муж,2,75-79,16
XI,Пищеварение,K63,80_plus,жен,5,80+,17
XI,Пищеварение,K65,40_44,муж,1,40-44,9
XI,Пищеварение,K65,50_54,жен,2,50-54,11
XI,Пищеварение,K65,55_59,муж,1,55-59,12
XI,Пищеварение,K65,70_74,муж,1,70-74,15
XI,Пищеварение,K65,75_79,муж,1,75-79,16
XI,Пищеварение,K65,80_plus,жен,2,80+,17
XI,Пищеварение,K66,40_44,жен,1,40-44,9
XI,Пищеварение,K66,55_59,муж,1,55-59,12
XI,Пищеварение,K66,60_64,жен,4,60-64,13
XI,Пищеварение,K66,60_64,муж,2,60-64,13
XI,Пищеварение,K66,65_69,жен,3,65-69,14
XI,Пищеварение,K66,70_74,жен,5,70-74,15
XI,Пищеварение,K66,70_74,муж,2,70-74,15
XI,Пищеварение,K66,75_79,муж,2,75-79,16
XI,Пищеварение,K66,80_plus,жен,13,80+,17
XI,Пищеварение,K70,25_29,жен,1,25-29,6
XI,Пищеварение,K70,25_29,муж,2,25-29,6
XI,Пищеварение,K70,30_34,жен,6,30-34,7
XI,Пищеварение,K70,30_34,муж,4,30-34,7
XI,Пищеварение,K70,35_39,жен,14,35-39,8
XI,Пищеварение,K70,35_39,муж,20,35-39,8
XI,Пищеварение,K70,40_44,жен,14,40-44,9
XI,Пищеварение,K70,40_44,муж,13,40-44,9
XI,Пищеварение,K70,45_49,жен,26,45-49,10
XI,Пищеварение,K70,45_49,муж,35,45-49,10
XI,Пищеварение,K70,50_54,жен,15,50-54,11
XI,Пищеварение,K70,50_54,муж,31,50-54,11
