icd_class,icd_class_short,icd3,deaths,mean_age,median_age,male_deaths,working_age_deaths,top_description,class_deaths,share_within_class,male_share,working_age_share,deaths_2016,deaths_2017,deaths_2018,deaths_2019,deaths_2020,deaths_2021,deaths_2022,deaths_2023,deaths_2024,deaths_2025,rank_within_class
II,Новообразования,C80,30,62.9,62.0,22,17,Злокачественное новообразование неуточненное,11353,0.0026424733550603364,0.7333333333333333,0.5666666666666667,8.0,6.0,3.0,1.0,3.0,4.0,3.0,2.0,0.0,0.0,39
II,Новообразования,D46,30,67.83333333333333,69.5,19,9,Другие миелодиспластические синдромы,11353,0.0026424733550603364,0.6333333333333333,0.3,4.0,2.0,1.0,1.0,5.0,4.0,1.0,3.0,4.0,5.0,40
II,Новообразования,C23,29,71.24137931034483,71.0,8,9,Злокачественное новообразование желчного пузыря,11353,0.0025543909098916587,0.27586206896551724,0.3103448275862069,3.0,4.0,3.0,1.0,4.0,2.0,2.0,2.0,6.0,2.0,41
II,Новообразования,C73,29,69.44827586206897,72.0,9,8,Злокачественное новообразование щитовидной железы,11353,0.0025543909098916587,0.3103448275862069,0.27586206896551724,2.0,2.0,1.0,6.0,4.0,3.0,3.0,1.0,4.0,3.0,42
II,Новообразования,C74,25,62.08,63.0,20,14,Злокачественное новообразование коры надпочечника,11353,0.002202061129216947,0.8,0.56,3.0,3.0,3.0,1.0,5.0,2.0,4.0,1.0,2.0,1.0,43
II,Новообразования,C01,22,64.0,65.5,18,10,Злокачественные новообразования основания языка,11353,0.0019378137937109134,0.8181818181818182,0.45454545454545453,5.0,4.0,0.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,44
II,Новообразования,C38,21,60.666666666666664,63.0,13,14,Злокачественное новообразование плевры,11353,0.0018497313485422355,0.6190476190476191,0.6666666666666666,5.0,2.0,1.0,4.0,1.0,0.0,5.0,0.0,2.0,1.0,45
II,Новообразования,C41,20,61.45,63.5,10,11,"Злокачественное новообразование костей таза, крестца и копчика",11353,0.0017616489033735576,0.5,0.55,6.0,1.0,2.0,2.0,2.0,3.0,2.0,0.0,1.0,1.0,46
II,Новообразования,C62,18,46.44444444444444,42.0,18,14,Злокачественное новообразование опущенного яичка,11353,0.001585484013036202,1.0,0.7777777777777778,1.0,1.0,4.0,0.0,3.0,1.0,3.0,3.0,1.0,1.0,47
II,Новообразования,C07,17,66.05882352941177,66.0,9,8,Злокачественное новообразование околоушной слюнной железы,11353,0.001497401567867524,0.5294117647058824,0.47058823529411764,2.0,0.0,3.0,0.0,2.0,3.0,3.0,0.0,3.0,1.0,48
II,Новообразования,C14,17,58.23529411764706,54.0,14,11,"Злокачественное новообразование губы, полости рта и глотки, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.001497401567867524,0.8235294117647058,0.6470588235294118,2.0,5.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,1.0,49
II,Новообразования,C57,17,63.76470588235294,63.0,0,10,Злокачественное новообразование женских половых органов,11353,0.001497401567867524,0.0,0.5882352941176471,1.0,3.0,3.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,50
II,Новообразования,C03,16,64.6875,63.5,9,10,Злокачественное новообразование десны нижней челюсти,11353,0.0014093191226988461,0.5625,0.625,1.0,2.0,4.0,3.0,0.0,2.0,0.0,2.0,0.0,2.0,51
II,Новообразования,C05,16,61.3125,59.5,10,11,Злокачественное новообразование мягкого неба,11353,0.0014093191226988461,0.625,0.6875,0.0,0.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,52
II,Новообразования,C93,16,62.75,62.0,6,10,Острый монобластный/моноцитарный лейкоз,11353,0.0014093191226988461,0.375,0.625,0.0,1.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,53
