mo_key,mo_id,mo_name,icd_class,deaths,person_years,asmr_per100k,crude_rate_per100k,icd_class_short,stability_flag,regional_deaths,regional_person_years,regional_asmr_per100k,asmr_ratio_vs_region,crude_rank_within_class,asmr_rank_within_class,rank_shift_to_higher_risk
корсаковский,362,Корсаковский,III,0,122394.0,0.0,0.0,Кровь и иммунитет,very_low_count,20,1446576.0,1.382575129132517,0.0,12.0,12.0,0.0
корсаковский,362,Корсаковский,IV,76,122394.0,67.53757998825485,62.0945471183228,Эндокринные и обмен,ok,866,1446576.0,59.86550309143799,1.1281552229687037,13.0,14.0,-1.0
корсаковский,362,Корсаковский,IX,500,122394.0,445.08292940537353,408.5167573573868,Кровообращение,ok,6028,1446576.0,416.70814392054064,1.0680927068472257,11.0,12.0,-1.0
корсаковский,362,Корсаковский,V,5,122394.0,4.716996725209947,4.085167573573868,Психические расстройства,very_low_count,95,1446576.0,6.567231863379456,0.7182625531334005,11.0,10.0,1.0
корсаковский,362,Корсаковский,VI,55,122394.0,49.77090348343308,44.93684330931255,Нервная система,ok,1199,1446576.0,82.8853789914944,0.6004786862172701,14.0,15.0,-1.0
корсаковский,362,Корсаковский,VIII,1,122394.0,0.7356675550584371,0.8170335147147735,Ухо,very_low_count,4,1446576.0,0.27651502582650345,2.660497572815534,2.0,2.0,0.0
корсаковский,362,Корсаковский,X,92,122394.0,81.22944160307657,75.16708335375917,Дыхание,ok,1219,1446576.0,84.26795412062691,0.9639422536211,11.0,10.0,1.0
корсаковский,362,Корсаковский,XI,209,122394.0,175.91571586662894,170.76000457538768,Пищеварение,ok,2060,1446576.0,142.40523830064924,1.235317731046042,10.0,9.0,1.0
корсаковский,362,Корсаковский,XII,6,122394.0,5.092673798927044,4.902201088288641,Кожа,very_low_count,48,1446576.0,3.318180309918041,1.5347791027826432,2.0,4.0,-2.0
корсаковский,362,Корсаковский,XIII,4,122394.0,3.282012319776373,3.268134058859094,Костно-мышечные,very_low_count,76,1446576.0,5.2537854907035655,0.6246947701964245,13.0,14.0,-1.0
