year,icd_class,icd_class_short,icd3,deaths
2019,II,Новообразования,C48,4
2019,II,Новообразования,C49,5
2019,II,Новообразования,C50,67
2019,II,Новообразования,C51,9
2019,II,Новообразования,C52,2
2019,II,Новообразования,C53,21
2019,II,Новообразования,C54,25
2019,II,Новообразования,C56,29
2019,II,Новообразования,C57,2
2019,II,Новообразования,C61,31
2019,II,Новообразования,C64,40
2019,II,Новообразования,C65,1
2019,II,Новообразования,C66,1
2019,II,Новообразования,C67,32
2019,II,Новообразования,C69,2
2019,II,Новообразования,C70,1
2019,II,Новообразования,C71,21
2019,II,Новообразования,C72,2
2019,II,Новообразования,C73,6
2019,II,Новообразования,C74,1
2019,II,Новообразования,C77,3
2019,II,Новообразования,C79,5
2019,II,Новообразования,C80,1
2019,II,Новообразования,C82,2
2019,II,Новообразования,C83,7
2019,II,Новообразования,C84,1
2019,II,Новообразования,C85,4
2019,II,Новообразования,C90,6
2019,II,Новообразования,C91,6
2019,II,Новообразования,C92,10
2019,II,Новообразования,C93,4
2019,II,Новообразования,C94,1
2019,II,Новообразования,C95,1
2019,II,Новообразования,C97,19
2019,II,Новообразования,D13,1
2019,II,Новообразования,D30,2
2019,II,Новообразования,D32,3
2019,II,Новообразования,D33,1
2019,II,Новообразования,D35,1
2019,II,Новообразования,D36,1
2019,II,Новообразования,D38,1
2019,II,Новообразования,D42,1
2019,II,Новообразования,D43,6
2019,II,Новообразования,D45,2
2019,II,Новообразования,D46,1
2019,II,Новообразования,D47,1
2019,IV,Эндокринные и обмен,E05,2
2019,IV,Эндокринные и обмен,E06,1
2019,IV,Эндокринные и обмен,E10,21
2019,IV,Эндокринные и обмен,E11,309
2019,IV,Эндокринные и обмен,E13,1
2019,IV,Эндокринные и обмен,E23,1
2019,IV,Эндокринные и обмен,E51,1
2019,IV,Эндокринные и обмен,E66,3
2019,IV,Эндокринные и обмен,E72,1
2019,IV,Эндокринные и обмен,E75,1
2019,IV,Эндокринные и обмен,E78,1
2019,IV,Эндокринные и обмен,E84,1
2019,IX,Кровообращение,I05,3
2019,IX,Кровообращение,I06,2
2019,IX,Кровообращение,I08,7
2019,IX,Кровообращение,I10,1
2019,IX,Кровообращение,I11,15
2019,IX,Кровообращение,I12,2
2019,IX,Кровообращение,I13,6
2019,IX,Кровообращение,I21,160
2019,IX,Кровообращение,I22,59
