year,municipality,icd_class,deaths
2025,Архаринский,XVIII,4
2025,Архаринский,XX,37
2025,Белогорск,I,8
2025,Белогорск,II,94
2025,Белогорск,III,1
2025,Белогорск,IV,34
2025,Белогорск,IX,373
2025,Белогорск,VI,18
2025,Белогорск,X,37
2025,Белогорск,XI,62
2025,Белогорск,XIII,24
2025,Белогорск,XIV,7
2025,Белогорск,XVII,2
2025,Белогорск,XVIII,16
2025,Белогорск,XX,86
2025,Белогорский,II,45
2025,Белогорский,IV,5
2025,Белогорский,IX,116
2025,Белогорский,V,1
2025,Белогорский,VI,2
2025,Белогорский,X,6
2025,Белогорский,XI,6
2025,Белогорский,XIII,1
2025,Белогорский,XIV,1
2025,Белогорский,XVIII,2
2025,Белогорский,XX,51
2025,Благовещенск,I,50
2025,Благовещенск,II,622
2025,Благовещенск,III,6
2025,Благовещенск,IV,210
2025,Благовещенск,IX,1305
2025,Благовещенск,VI,99
2025,Благовещенск,VIII,2
2025,Благовещенск,X,120
2025,Благовещенск,XI,262
2025,Благовещенск,XII,15
2025,Благовещенск,XIII,80
2025,Благовещенск,XIV,45
2025,Благовещенск,XIX,2
2025,Благовещенск,XVI,6
2025,Благовещенск,XVII,9
2025,Благовещенск,XVIII,40
2025,Благовещенск,XX,269
2025,Благовещенский,I,2
2025,Благовещенский,II,123
2025,Благовещенский,IV,8
2025,Благовещенский,IX,115
2025,Благовещенский,V,1
2025,Благовещенский,VI,2
2025,Благовещенский,X,5
2025,Благовещенский,XI,9
2025,Благовещенский,XIV,3
2025,Благовещенский,XIX,2
2025,Благовещенский,XVIII,6
2025,Благовещенский,XX,32
2025,Бурейский,I,3
2025,Бурейский,II,52
2025,Бурейский,IV,17
2025,Бурейский,IX,95
2025,Бурейский,VI,4
2025,Бурейский,X,11
2025,Бурейский,XI,20
2025,Бурейский,XIII,20
2025,Бурейский,XIV,3
2025,Бурейский,XVIII,8
2025,Бурейский,XX,78
2025,Завитинский,I,1
2025,Завитинский,II,36
2025,Завитинский,IV,6
2025,Завитинский,IX,60
2025,Завитинский,VI,1
2025,Завитинский,X,4
2025,Завитинский,XI,12
2025,Завитинский,XIII,7
2025,Завитинский,XIV,1
2025,Завитинский,XVIII,4
2025,Завитинский,XX,39
2025,Зейский,I,1
2025,Зейский,II,23
2025,Зейский,IV,8
2025,Зейский,IX,82
2025,Зейский,VI,11
2025,Зейский,X,8
2025,Зейский,XI,1
2025,Зейский,XIII,2
2025,Зейский,XVIII,1
2025,Зейский,XX,48
2025,Зея,I,2
2025,Зея,II,54
2025,Зея,IV,25
2025,Зея,IX,186
2025,Зея,VI,37
2025,Зея,X,8
2025,Зея,XI,31
2025,Зея,XIII,7
2025,Зея,XIV,1
2025,Зея,XVII,1
2025,Зея,XVIII,8
2025,Зея,XX,52
2025,Ивановский,I,2
2025,Ивановский,II,35
2025,Ивановский,IV,11
2025,Ивановский,IX,107
2025,Ивановский,VI,6
2025,Ивановский,X,11
2025,Ивановский,XI,14
2025,Ивановский,XIII,44
2025,Ивановский,XIV,3
2025,Ивановский,XIX,1
2025,Ивановский,XVII,1
2025,Ивановский,XVIII,2
2025,Ивановский,XX,65
2025,Константиновский,I,2
2025,Константиновский,II,26
2025,Константиновский,III,1
2025,Константиновский,IV,4
2025,Константиновский,IX,51
2025,Константиновский,VI,2
2025,Константиновский,X,2
2025,Константиновский,XI,7
2025,Константиновский,XIII,1
2025,Константиновский,XVIII,2
2025,Константиновский,XX,40
2025,Магдагачинский,I,2
2025,Магдагачинский,II,31
2025,Магдагачинский,IV,10
2025,Магдагачинский,IX,117
2025,Магдагачинский,V,1
2025,Магдагачинский,VI,2
2025,Магдагачинский,X,6
2025,Магдагачинский,XI,13
2025,Магдагачинский,XIII,15
2025,Магдагачинский,XIV,1
2025,Магдагачинский,XVIII,10
2025,Магдагачинский,XX,40
2025,Мазановский,I,2
2025,Мазановский,II,16
2025,Мазановский,IV,5
2025,Мазановский,IX,49
2025,Мазановский,VI,2
2025,Мазановский,X,4
2025,Мазановский,XI,9
2025,Мазановский,XIV,1
2025,Мазановский,XVIII,5
2025,Мазановский,XX,27
2025,Михайловский,I,4
2025,Михайловский,II,25
2025,Михайловский,III,1
2025,Михайловский,IV,8
2025,Михайловский,IX,51
2025,Михайловский,VI,2
2025,Михайловский,XI,12
2025,Михайловский,XIII,7
2025,Михайловский,XIV,1
2025,Михайловский,XIX,5
2025,Михайловский,XVII,1
2025,Михайловский,XVIII,11
2025,Михайловский,XX,44
2025,Октябрьский,I,3
2025,Октябрьский,II,28
2025,Октябрьский,IV,4
2025,Октябрьский,IX,70
2025,Октябрьский,VI,2
2025,Октябрьский,X,8
2025,Октябрьский,XI,12
2025,Октябрьский,XIII,1
2025,Октябрьский,XVIII,1
2025,Октябрьский,XX,95
2025,Посёлок Углегорск,II,7
2025,Посёлок Углегорск,IV,1
2025,Посёлок Углегорск,IX,26
2025,Посёлок Углегорск,XI,2
2025,Посёлок Углегорск,XVIII,1
2025,Посёлок Углегорск,XX,5
2025,Рабочий посёлок Прогресс,I,1
