Позиция,Код,Расшифровка,Семейство,Смертей
Прочие состояния,N11.8,Хронический тубулоинтерстициальный нефрит,Болезни мочеполовой системы (N),1
Прочие состояния,G40.0,МКБ-код без расшифровки в справочнике отчета,Другие коды G,1
Прочие состояния,G93.5,Сдавление головного мозга,Сдавление мозга (G93.5),1
Прочие состояния,N18.5,МКБ-код без расшифровки в справочнике отчета,Болезни мочеполовой системы (N),1
Прочие состояния,R00.8,МКБ-код без расшифровки в справочнике отчета,Симптомы и неточные причины (R),1
Прочие состояния,I48.0,МКБ-код без расшифровки в справочнике отчета,Другие болезни системы кровообращения (I),1
Прочие состояния,I51.7,МКБ-код без расшифровки в справочнике отчета,Другие болезни системы кровообращения (I),1
Прочие состояния,I47.1,МКБ-код без расшифровки в справочнике отчета,Другие болезни системы кровообращения (I),1
Прочие состояния,I51.3,МКБ-код без расшифровки в справочнике отчета,Другие болезни системы кровообращения (I),1
Прочие состояния,K85.1,МКБ-код без расшифровки в справочнике отчета,"Болезни печени, поджелудочной и пищеварения (K)",1
